№;Номенклатура
1;Переходник 1 (сборка)
1.1;Муфта А1
1.2;Муфта А2
2;Переходник 2 (сборка)
2.1;Муфта Б1
2.2;Муфта Б2
3;Ролик 1 (сборка)
3.1;Подшипник скольжения 1В
3.2;Ось эксцентриковая 2В
3.3;Фланец-заготовка 3В
3.4;Ось-заготовка 4В
3.5;Колесо 5В
3.6;Бобышка 6В
4;Ролик 2 (сборка)
4.1;Подшипник скольжения 1С
4.2;Ось эксцентриковая 2С
4.3;Фланец-заготовка 3С
4.4;Ось-заготовка 4С
4.5;Колесо 5С
4.6;Бобышка 6С
5;Ролик каретки 3 (сборка)
5.1;Шайба 1Д
5.2;Шайба 2Д
5.3;Ролик 3Д
5.4;Крышка 4Д
5.5;Втулка 5Д
5.6;Вставка 6Д
6;Изделие №6 
7;Изделие №7
8;Изделие №8
9;Изделие №9
10;Изделие №10
11;Изделие №11
12;Изделие №12
13;Изделие №13
14;Изделие №14
15;Изделие №15
16;Изделие №16
17;Изделие №17
18;Изделие №18
19;Изделие №19
20;Изделие №20
21;Изделие №21
22;Изделие №22
23;Изделие №23
24;Изделие №24
25;Изделие №25
26;Изделие №26
27;Изделие №27
28;Изделие №28
29;Изделие №29
30;Изделие №30
31;Изделие №31
32;Изделие №32
33;Изделие №33
34;Изделие №34
35;Изделие №35
36;Изделие №36
37;Изделие №37
38;Изделие №38
39;Изделие №39
40;Изделие №40
41;Изделие №41
42;Изделие №42
43;Изделие №43
44;Изделие №44
45;Изделие №45
46;Изделие №46
47;Изделие №47
48;Изделие №48
49;Изделие №49
50;Изделие №50